partner_id,product_sku,category,brand,list_price
P001,SKU-0001,home,Northstar,781.04
P001,SKU-0002,fashion,Zenith,541.47
P001,SKU-0003,beauty,Zenith,53.34
P001,SKU-0004,beauty,Northstar,402.84
P001,SKU-0005,electronics,Acme,1047.09
P001,SKU-0006,electronics,Northstar,366.74
P001,SKU-0007,home,Orbit,459.12
P001,SKU-0008,electronics,Zenith,837.74
P001,SKU-0009,fashion,Zenith,964.76
P001,SKU-0010,beauty,Orbit,850.2
P001,SKU-0011,home,Zenith,864.34
P001,SKU-0012,home,Orbit,341.56
P001,SKU-0013,electronics,Orbit,1102.94
P001,SKU-0014,electronics,Zenith,1034.47
P001,SKU-0015,electronics,Northstar,973.85
P001,SKU-0016,electronics,Acme,93.93
P001,SKU-0017,fashion,Northstar,189.04
P001,SKU-0018,home,Northstar,1037.11
P001,SKU-0019,electronics,Northstar,885.12
P001,SKU-0020,fashion,Northstar,191.71
P001,SKU-0021,beauty,Zenith,944.43
P001,SKU-0022,electronics,Northstar,72.12
P001,SKU-0023,home,Acme,1102.01
P001,SKU-0024,electronics,Acme,114.59
P001,SKU-0025,electronics,Northstar,522.4
P001,SKU-0026,home,Acme,64.75
P001,SKU-0027,electronics,Orbit,387.88
P001,SKU-0028,home,Orbit,981.97
P001,SKU-0029,beauty,Acme,565.71
P001,SKU-0030,electronics,Orbit,225.99
P001,SKU-0031,electronics,Northstar,215.14
P001,SKU-0032,home,Zenith,176.95
P001,SKU-0033,home,Northstar,844.93
P001,SKU-0034,electronics,Acme,228.52
P001,SKU-0035,fashion,Acme,199.1
P001,SKU-0036,fashion,Orbit,610.45
P001,SKU-0037,fashion,Acme,514.7
P001,SKU-0038,fashion,Acme,639.01
P001,SKU-0039,fashion,Zenith,906.39
P001,SKU-0040,electronics,Northstar,80.03
P001,SKU-0041,fashion,Northstar,745.72
P001,SKU-0042,beauty,Northstar,810.47
P001,SKU-0043,beauty,Northstar,1172.72
P001,SKU-0044,electronics,Zenith,707.83
P001,SKU-0045,fashion,Northstar,685.2
P001,SKU-0046,fashion,Orbit,432.94
P001,SKU-0047,beauty,Zenith,602.14
P001,SKU-0048,beauty,Zenith,657.37
P001,SKU-0049,home,Acme,706.74
P001,SKU-0050,electronics,Zenith,494.63
